DisplayIndex=0
Millinits,Brightness
1123,0
1221,0
1318,0
1414,0
1511,1
1800,1
1991,1
2371,2
2654,2
3028,3
3492,3
3950,4
4492,5
4939,5
5555,6
6161,7
6756,8
7424,9
8079,10
8799,11
9580,12
10340,13
11151,15
12073,16
12911,17
13852,18
14686,19
15727,21
16662,22
17698,23
18732,24
19867,26
20896,27
22025,28
23254,30
24377,31
25599,33
26919,34
28134,36
29446,37
30754,39
32158,41
33458,42
34854,44
36344,46
37912,48
39375,49
40838,50
42301,51
43946,52
45409,53
47055,54
48701,55
50347,56
52176,57
53822,59
55469,60
57298,61
59127,62
60956,63
62786,65
64615,66
66444,67
68457,69
70287,70
72299,71
74312,73
76325,74
78338,75
80351,77
82547,78
84560,79
86679,81
88872,82
91065,83
93259,84
95454,86
97649,87
100065,88
102262,90
104679,91
106877,92
109296,94
111716,95
114137,96
116559,98
118981,99
121404,100
124049,102
126474,103
129121,105
131548,106
134196,108
136846,109
139497,111
142148,112
144716,113
147605,114
150174,115
153064,116
155955,117
158524,118
161416,120
164309,121
167201,122
170095,123
172989,124
175883,125
178778,126
181674,127
184892,129
187789,130
190686,131
193906,132
196804,133
200025,135
203247,136
206147,137
209370,138
212594,139
215819,141
219044,142
222269,143
225496,144
228942,146
232404,147
235434,147
238900,148
242369,149
245840,150
249314,151
252790,152
256269,153
259750,154
263234,155
266721,156
270210,157
273702,158
277196,159
281131,161
284630,162
288133,163
292076,164
295584,165
299533,166
303047,167
307002,168
310521,169
314483,170
318007,171
321975,172
325946,173
329921,174
333898,176
337644,177
341467,177
345839,178
349667,179
353498,180
357330,181
361713,182
365550,183
369938,184
373779,185
378173,186
382019,187
386418,188
390269,188
394673,189
399080,190
402938,191
407351,192
411766,193
416184,194
420605,195
424475,196
428901,197
433330,198
437762,199
442197,200
446635,201
451076,202
455519,203
460664,204
464489,205
469081,205
473674,206
478269,207
482865,208
487462,208
492061,209
496662,210
502031,211
506634,212
511239,212
515846,213
520454,214
525063,215
530442,215
535055,216
539669,217
545054,218
549671,218
554289,219
559679,220
564301,221
568924,222
574320,222
578946,223
584345,224
588974,225
594377,226
599782,227
604416,227
609825,228
614462,229
619874,230
625288,231
629930,231
635348,232
640768,233
645753,234
651318,235
656885,235
661340,236
666910,236
672481,237
678055,238
683631,238
689208,239
693671,239
699251,240
704833,241
710417,241
716003,242
721591,242
727180,243
732771,244
738364,244
743959,245
749556,246
755154,246
760754,247
766356,247
771960,248
777565,249
783172,249
788781,250
794392,251
800005,251
806742,252
812359,253
817977,253
823597,254
829219,254
834843,255
