DisplayIndex=1
OSBrightness,Millinits
0,1500
1,2144
2,2848
3,3552
4,4256
5,4960
6,5576
7,6280
8,6984
9,7688
10,8392
11,9096
12,9712
13,10416
14,11120
15,11824
16,12656
17,13531
18,14297
19,15172
20,16047
21,16922
22,17797
23,18563
24,19438
25,20313
26,21188
27,22063
28,22938
29,23703
30,24578
31,25453
32,26328
33,27203
34,28078
35,28844
36,29719
37,30594
38,31469
39,32344
40,33219
41,33984
42,34859
43,35734
44,36609
45,37484
46,38359
47,39125
48,40000
49,41550
50,43101
51,44651
52,46008
53,47558
54,49109
55,50659
56,52209
57,53760
58,55116
59,56667
60,58217
61,59767
62,61318
63,62868
64,64225
65,65775
66,67326
67,68876
68,70426
69,71977
70,73333
71,74884
72,76434
73,77984
74,79535
75,81085
76,82442
77,83992
78,85543
79,87093
80,88643
81,90000
82,91846
83,93692
84,95538
85,97385
86,99231
87,100846
88,102692
89,104538
90,106385
91,108231
92,110077
93,111692
94,113538
95,115385
96,117231
97,119077
98,120923
99,122538
100,124385
101,126767
102,129260
103,131777
104,134319
105,136886
106,139477
107,142092
108,144733
109,147397
110,150087
111,152801
112,155539
113,158302
114,161089
115,163902
116,166738
117,169599
118,172485
119,175396
120,178330
121,181290
122,184274
123,187282
124,190316
125,193373
126,196456
127,199562
128,202694
129,205850
130,209030
131,212235
132,215465
133,218719
134,221998
135,225301
136,228629
137,231981
138,235358
139,238760
140,242186
141,245637
142,249112
143,252612
144,256136
145,259685
146,263258
147,266856
148,270479
149,274126
150,277798
151,281494
152,285215
153,288960
154,292730
155,296524
156,300343
157,304187
158,308055
159,311948
160,315865
161,319807
162,323773
163,327764
164,331780
165,335820
166,339885
167,343974
168,348088
169,352226
170,356389
171,360576
172,364788
173,369025
174,373286
175,377572
176,381882
177,386217
178,390576
179,394960
180,399369
181,403802
182,408259
183,412741
184,417248
185,421779
186,426335
187,430916
188,435521
189,440150
190,444804
191,449483
192,454186
193,458914
194,463666
195,468443
196,473244
197,478070
198,482921
199,487796
200,492696
201,497620
202,502569
203,507542
204,512540
205,517562
206,522610
207,527681
208,532777
209,537898
210,543043
211,548213
212,553407
213,558626
214,563870
215,569138
216,574431
217,579748
218,585090
219,590456
220,595847
221,601262
222,606702
223,612167
224,617656
225,623170
226,628708
227,634271
228,639858
229,645470
230,651106
231,656767
232,662453
233,668163
234,673898
235,679657
236,685441
237,691249
238,697082
239,702940
240,708822
241,714728
242,720660
243,726615
244,732596
245,738601
246,744630
247,750684
248,756762
249,762866
250,768993
251,775145
252,781322
253,787524
254,793750
255,800000
